keep,public_any,pct_data_public,var_name,var_label,var_def,domain,subdomain,dataset_instance,n_data_pts_public,n_data_pts_private,n_data_pts_total,intermediate_metadata
1,yes,93%,AADR,Age-adjusted mortality rate,"Age-adjusted mortality rate expressed as per 1,000 population",Mortality,Mortality Rates,MR_allcause_v2.0,19779,1584,21363,""
0,yes,50%,APMPM25DMEAN,Average daily PM2.5 concentration from monitors ,"The arithmetic mean of PM2.5 measurements for all monitors within the geographic unit. All days during the time span where data is available are included in the dataset. If PM2.5 data is not available for a particular day, then the PM2.5 mean are missing values.",Physical and Natural Environment,Air Pollution,APM_DAILY_v1.0,53037,53066,106103,""
0,yes,50%,APMPM25DNSTN,Standard Deviation of daily PM2.5 concentration from monitors ,"Standard deviation of PM2.5 measurements for all monitors within the geographic unit. All days during the time span where data is available are included in the dataset. If PM2.5 data is not available for a particular day, then the PM2.5 standard deviation are missing values. A higher value indictates more variability in the PM2.5 measures used to calculated the mean and median values.",Physical and Natural Environment,Air Pollution,APM_DAILY_v1.0,53037,53066,106103,""
0,yes,50%,APMPM25DSD,Number of PM2.5 monitors,"Number of monitors used to calculate daily PM2.5 average and variance measures for the geographic unit. All days during the time span where data is available are included in the dataset. If PM2.5 data is not available for a particular day, then the PM2.5 number of monitors are missing values. A higher number indicates more monitors were used to calculate the PM2.5 metrics.",Physical and Natural Environment,Air Pollution,APM_DAILY_v1.0,53037,53066,106103,""
0,yes,100%,APSDNO2GRIDPTS,Number of grid points used to calculate NO2 measures,Number of grid points used to calculate NO2 average and variance measures. This can be used as a measure of size of the area. (NO2 - Nitrogen Dioxide),Physical and Natural Environment,Air Pollution,APS_v2.0,59103,0,59103,""
1,yes,100%,APSDNO2MEAN,Area-weighted NO2 average concentration,Weighted arithmetic mean of NO2 measurements for all grid cells with any part of the grid cell contained in the defined boundary weighted by the percent of the total area  contained within the boundary. (NO2 - Nitrogen Dioxide),Physical and Natural Environment,Air Pollution,APS_v2.0,59103,0,59103,""
0,yes,100%,APSDNO2MEDIAN,Area-weighted NO2 median concentration,Weighted median of NO2 measurements for all grid cells with any part of the grid cell contained in the defined boundary weighted by the percent of the total area contained within the boundary. (NO2 - Nitrogen Dioxide),Physical and Natural Environment,Air Pollution,APS_v2.0,59103,0,59103,""
1,yes,100%,APSDNO2POPWT,Population- and Area-weighted NO2 mean concentration,Weighted arithmetic mean of NO2 measurements for all grid cells with any part of the grid cell contained in the defined boundary weighted by the percent of the total area and population contained within the boundary. (NO2 - Nitrogen Dioxide),Physical and Natural Environment,Air Pollution,APS_v2.0,58806,0,58806,""
0,yes,100%,APSDNO2PROPDATA,Proportion of area that has NO2 data coverage.,Proportion of area of the geographic unit that has NO2 data coverage. (NO2 - Nitrogen Dioxide),Physical and Natural Environment,Air Pollution,APS_v2.0,58806,0,58806,""
1,yes,100%,APSDNO2STD,Standard deviation of the area-weighted mean value of NO2,Weighted standard deviation of NO2 measurements for all grid cells with any part of the grid cell contained in the defined boundary weighted by the percent of the total area contained within the boundary. (NO2 - Nitrogen Dioxide),Physical and Natural Environment,Air Pollution,APS_v2.0,59103,0,59103,""
0,yes,100%,APSMPM25GRIDPTS,Number of grid points used to calculate PM2.5 measures,Number of grid point centroids used to calculate PM2.5 average and variance measures. This can be used as a measure of size of the area.  (PM2.5 – particulate matter with less 2.5 µm of diameter),Physical and Natural Environment,Air Pollution,APS_MONTH_v1.0,153036,0,153036,""
1,yes,100%,APSMPM25MEAN,Average PM2.5 concentration,Arithmetic mean of PM2.5 measurements for all grid cells where the centroid falls within the defined boundary (PM2.5 – particulate matter with less 2.5 µm of diameter),Physical and Natural Environment,Air Pollution,APS_MONTH_v1.0,153036,0,153036,""
0,yes,100%,APSMPM25MEDIAN,Median PM2.5 concentration,Median of PM2.5 measurements for all grid cells where the centroid falls within the defined boundary. (PM2.5 – particulate matter with less 2.5 µm of diameter),Physical and Natural Environment,Air Pollution,APS_MONTH_v1.0,153036,0,153036,""
1,yes,100%,APSMPM25POPWT,Population-weighted Average PM2.5 concentration,Population-weighted mean of PM2.5 measurements for all grid cells where the centroid falls within the geographic unit (PM2.5 – particulate matter with less 2.5 µm of diameter),Physical and Natural Environment,Air Pollution,APS_MONTH_v1.0,150000,0,150000,""
1,yes,100%,APSMPM25STD,Standard deviation of the mean value of PM2.5,Standard deviation of PM2.5 measurements for any grid cells where the centroid falls within the defined boundary (PM2.5 – particulate matter with less 2.5 µm of diameter),Physical and Natural Environment,Air Pollution,APS_MONTH_v1.0,153036,0,153036,""
0,yes,100%,APSMPM25THRES,Average PM2.5 is above threshold,Average PM2.5 is above threshold of 10 µg/m3. Threshold defined based on WHO Guidelines.  (PM2.5 – particulate matter with less 2.5 µm of diameter),Physical and Natural Environment,Air Pollution,APS_MONTH_v1.0,153036,0,153036,""
0,yes,100%,APSNO2GRIDPTS,Number of grid points used to calculate NO2 measures,Number of grid points used to calculate NO2 average and variance measures. This can be used as a measure of size of the area. (NO2 - Nitrogen Dioxide),Physical and Natural Environment,Air Pollution,APS_v2.0,59103,0,59103,""
1,yes,100%,APSNO2MEAN,Average NO2 concentration,Arithmetic mean of NO2 measurements for all grid cells where the centroid falls within the defined boundary (NO2 - Nitrogen Dioxide),Physical and Natural Environment,Air Pollution,APS_v2.0,403217,0,403217,""
0,yes,100%,APSNO2MEDIAN,Median NO2 concentration,Median of NO2 measurements for all grid cells where the centroid falls within the defined boundary. (NO2 - Nitrogen Dioxide),Physical and Natural Environment,Air Pollution,APS_v2.0,59103,0,59103,""
1,yes,100%,APSNO2POPWT,Population-weighted Average NO2 concentration,Population-weighted mean of NO2 measurements for all grid cells where the centroid falls within the geographic unit. (NO2 - Nitrogen Dioxide),Physical and Natural Environment,Air Pollution,APS_v2.0,58806,0,58806,""
1,yes,100%,APSNO2STD,Standard Deviation of NO2,Standard deviation of NO2 measurements for any grid cells where the centroid falls within the defined boundary (NO2 - Nitrogen Dioxide),Physical and Natural Environment,Air Pollution,APS_v2.0,59103,0,59103,""
0,yes,100%,APSPM25GRIDPTS,Number of grid points used to calculate PM2.5 measures,Number of grid point centroids used to calculate PM2.5 average and variance measures. This can be used as a measure of size of the area.  (PM2.5 – particulate matter with less 2.5 µm of diameter),Physical and Natural Environment,Air Pollution,APS_v2.0,554275,0,554275,""
1,yes,100%,APSPM25MEAN,Average PM2.5 concentration,Arithmetic mean of PM2.5 measurements for all grid cells where the centroid falls within the defined boundary (PM2.5 – particulate matter with less 2.5 µm of diameter),Physical and Natural Environment,Air Pollution,APS_v2.0,554086,0,554086,""
0,yes,100%,APSPM25MEDIAN,Median PM2.5 concentration,Median of PM2.5 measurements for all grid cells where the centroid falls within the defined boundary. (PM2.5 – particulate matter with less 2.5 µm of diameter),Physical and Natural Environment,Air Pollution,APS_v2.0,59103,0,59103,""
1,yes,100%,APSPM25POPWT,Population-weighted Average PM2.5 concentration,Population-weighted mean of PM2.5 measurements for all grid cells where the centroid falls within the geographic unit (PM2.5 – particulate matter with less 2.5 µm of diameter),Physical and Natural Environment,Air Pollution,APS_v2.0,58806,0,58806,""
1,yes,100%,APSPM25STD,Standard deviation of the mean value of PM2.5,Standard deviation of PM2.5 measurements for any grid cells where the centroid falls within the defined boundary (PM2.5 – particulate matter with less 2.5 µm of diameter),Physical and Natural Environment,Air Pollution,APS_v2.0,554086,0,554086,""
0,yes,100%,APSPM25THRES,Average PM2.5 is above threshold,Average PM2.5 is above threshold of 10 µg/m3. Threshold defined based on WHO Guidelines.  (PM2.5 – particulate matter with less 2.5 µm of diameter),Physical and Natural Environment,Air Pollution,APS_v2.0,59103,0,59103,""
1,yes,100%,ATUSCOLCNT,Total number of collisions.,"Total number of collisions, this is the count of all the collisions that occurred in the month.",Physical and Natural Environment,Transportation,ATUS_MONTHLY_v1.0,50000,0,50000,""
1,yes,100%,ATUSCOLCNTWKWT,Total number of weekend collisions,Total number of collisions that occurred on weekends. Weekends extend from Friday to Sunday.,Physical and Natural Environment,Transportation,ATUS_MONTHLY_v1.0,50000,0,50000,""
1,yes,100%,ATUSCOUNTDEAD,Total deaths due to collisions,Total number of people who died because of a collision that occurred in the month. ,Physical and Natural Environment,Transportation,ATUS_MONTHLY_v1.0,50000,0,50000,""
1,yes,100%,ATUSCOUNTETOH,Total number of collisions with alcohol involvement,"Total number of collisions where alcohol had involvement, the alcohol use was detected for the responsible driver via a breathalyzer test. The breathalyzer used by police in Mexico indicates alcohol was detected or not and does not indicate the blood alcohol level. It is a screening tool to obtain a legal blood draw test of blood alcohol content.",Physical and Natural Environment,Transportation,ATUS_MONTHLY_v1.0,50000,0,50000,""
1,yes,100%,ATUSCOUNTETOHWK,Total number of weekend collisions with alcohol involvement,"Total number of collisions where alcohol had involvement on the weekend, the alcohol use was detected for the responsible driver via a breathalyzer test. The breathalyzer used by police in Mexico indicates alcohol was detected or not and does not indicate the blood alcohol level. It is a screening tool to obtain a legal blood draw test of blood alcohol content. Weekends extend from Friday to Sunday.",Physical and Natural Environment,Transportation,ATUS_MONTHLY_v1.0,50000,0,50000,""
1,yes,100%,ATUSCOUNTINJ,Total people injured in collision,Total number of people that resulted injured because of a collision.,Physical and Natural Environment,Transportation,ATUS_MONTHLY_v1.0,50000,0,50000,""
1,yes,100%,ATUSTCOLFATAL,Total number of fatal collisions,"Total number of fatal collisions, this is the total count where a person died due to a collision.",Physical and Natural Environment,Transportation,ATUS_MONTHLY_v1.0,50000,0,50000,""
